# Generated by probes/course-lab.
# search search of ../../assets/maps/cleave.map for goal finish (0x00000002); reported 0 ms, checksum 0xad14ae70682ac645
# Replay it with `straf3 --replay <this file> --map ../../assets/maps/cleave.map`; the
# final checksum must equal the one course-lab printed beside it.

rate 125
profile cpm
world map
spawn -320.0 -736.0 24.125
yaw 0.0

# cmd <repeat> <fwd> <right> <up> <buttons> <pitch> <yaw> <roll>
cmd 1 127 -127 0 - 0.0 3.9990234 0.0
cmd 1 127 -127 0 - 0.0 7.998047 0.0
cmd 1 127 -127 0 - 0.0 11.99707 0.0
cmd 1 127 -127 0 - 0.0 15.996094 0.0
cmd 1 127 -127 0 - 0.0 19.995117 0.0
cmd 1 127 -127 0 - 0.0 23.99414 0.0
cmd 1 127 -127 0 - 0.0 27.993164 0.0
cmd 1 127 -127 0 - 0.0 31.992188 0.0
cmd 1 127 0 0 - 0.0 35.99121 0.0
cmd 1 127 0 0 - 0.0 39.990234 0.0
cmd 1 127 0 0 - 0.0 43.989258 0.0
cmd 1 127 0 0 - 0.0 47.98828 0.0
cmd 1 127 0 0 - 0.0 51.987305 0.0
cmd 1 127 0 0 - 0.0 55.98633 0.0
cmd 1 127 0 0 - 0.0 59.98535 0.0
cmd 1 127 0 0 - 0.0 63.984375 0.0
cmd 1 127 127 0 - 0.0 67.9834 0.0
cmd 1 127 127 0 - 0.0 71.98242 0.0
cmd 1 127 127 0 - 0.0 75.981445 0.0
cmd 1 127 127 0 - 0.0 79.98047 0.0
cmd 1 127 127 0 - 0.0 83.97949 0.0
cmd 1 127 127 0 - 0.0 87.978516 0.0
cmd 1 127 127 0 - 0.0 91.97754 0.0
cmd 1 127 127 0 - 0.0 95.97656 0.0
cmd 1 127 127 0 - 0.0 99.975586 0.0
cmd 1 127 127 0 - 0.0 103.97461 0.0
cmd 1 127 127 0 - 0.0 107.97363 0.0
cmd 1 127 127 0 - 0.0 111.97266 0.0
cmd 1 127 127 0 - 0.0 115.97168 0.0
cmd 1 127 127 0 - 0.0 119.9707 0.0
cmd 1 127 127 0 - 0.0 123.96973 0.0
cmd 1 127 127 0 - 0.0 127.96875 0.0
cmd 1 0 127 0 - 0.0 131.96777 0.0
cmd 1 0 127 0 - 0.0 135.9668 0.0
cmd 1 0 127 0 - 0.0 139.96582 0.0
cmd 1 0 127 0 - 0.0 143.96484 0.0
cmd 1 0 127 0 - 0.0 147.96387 0.0
cmd 1 0 127 0 - 0.0 151.96289 0.0
cmd 1 0 127 0 - 0.0 155.96191 0.0
cmd 1 0 127 0 - 0.0 159.96094 0.0
cmd 1 127 0 0 - 0.0 155.96191 0.0
cmd 1 127 0 0 - 0.0 151.96289 0.0
cmd 1 127 0 0 - 0.0 147.96387 0.0
cmd 1 127 0 0 - 0.0 143.96484 0.0
cmd 1 127 0 0 - 0.0 139.96582 0.0
cmd 1 127 0 0 - 0.0 135.9668 0.0
cmd 1 127 0 0 - 0.0 131.96777 0.0
cmd 1 127 0 0 - 0.0 127.96875 0.0
cmd 1 127 127 0 jump 0.0 126.968994 0.0
cmd 1 127 127 0 - 0.0 125.96924 0.0
cmd 1 127 127 0 - 0.0 124.96948 0.0
cmd 1 127 127 0 - 0.0 123.96973 0.0
cmd 1 127 127 0 - 0.0 122.96997 0.0
cmd 1 127 127 0 - 0.0 121.970215 0.0
cmd 1 127 127 0 - 0.0 120.97046 0.0
cmd 1 127 127 0 - 0.0 119.9707 0.0
cmd 1 127 127 0 - 0.0 118.97095 0.0
cmd 1 127 127 0 - 0.0 117.97119 0.0
cmd 1 127 127 0 - 0.0 116.971436 0.0
cmd 1 127 127 0 - 0.0 115.97168 0.0
cmd 1 127 127 0 - 0.0 114.971924 0.0
cmd 1 127 127 0 - 0.0 113.97217 0.0
cmd 1 127 127 0 - 0.0 112.97241 0.0
cmd 1 127 127 0 - 0.0 111.97266 0.0
cmd 1 127 127 0 - 0.0 110.9729 0.0
cmd 1 127 127 0 - 0.0 109.973145 0.0
cmd 1 127 127 0 - 0.0 108.97339 0.0
cmd 1 127 127 0 - 0.0 107.97363 0.0
cmd 1 127 127 0 - 0.0 106.97388 0.0
cmd 1 127 127 0 - 0.0 105.97412 0.0
cmd 1 127 127 0 - 0.0 104.974365 0.0
cmd 1 127 127 0 - 0.0 103.97461 0.0
cmd 1 127 127 0 - 0.0 102.97485 0.0
cmd 1 127 127 0 - 0.0 101.9751 0.0
cmd 1 127 127 0 - 0.0 100.97534 0.0
cmd 1 127 127 0 - 0.0 99.975586 0.0
cmd 1 127 127 0 - 0.0 98.97583 0.0
cmd 1 127 127 0 - 0.0 97.976074 0.0
cmd 1 127 127 0 - 0.0 96.97632 0.0
cmd 1 127 127 0 - 0.0 95.97656 0.0
cmd 1 127 127 0 - 0.0 94.97681 0.0
cmd 1 127 127 0 - 0.0 93.97705 0.0
cmd 1 127 127 0 - 0.0 92.977295 0.0
cmd 1 127 127 0 - 0.0 91.97754 0.0
cmd 1 127 127 0 - 0.0 90.97778 0.0
cmd 1 127 127 0 - 0.0 89.97803 0.0
